user_id,IP,advertiser_ID,buy_ID,s_advertiser,ad_ID,creative_ID,site_ID,page_ID,country_ID,state_province,areacode,time_utc_sec,Date,Time,Time_utc,click_conversion,click_datetime,activity_conversion_click,activity_conversion_no_click,activity_conversion
2586384456,72.24.41.154,2039663,3271919,\N,210214698,29397795,582346,31841178,256,OK,918,1249099920,01/08/09,00:12:00,07:12:00,0,0,0,0,0
2586384456,72.24.41.154,2039663,3271919,\N,210214698,29397795,582346,31841180,256,OK,918,1249099920,01/08/09,00:12:00,07:12:00,0,0,0,0,0
5.76461E+17,68.127.209.39,2039660,3297457,\N,212938293,29397844,349956,32899998,256,CA,925,1249099975,01/08/09,00:12:55,07:12:55,0,0,0,0,0
9.23957E+17,66.7.127.169,2039660,3272409,\N,210686424,29397844,582346,33935737,256,UT,801,1249099980,01/08/09,00:13:00,07:13:00,0,0,0,0,0
9.23957E+17,66.7.127.169,2039660,3275774,\N,210189139,29397844,582346,31738816,256,UT,801,1249099980,01/08/09,00:13:00,07:13:00,0,0,0,0,0
9.23957E+17,66.7.127.169,2039660,3275774,\N,210189139,29397844,582346,31738818,256,UT,801,1249099980,01/08/09,00:13:00,07:13:00,0,0,0,0,0
5.76461E+17,68.127.209.39,2039660,3272409,\N,210686424,29397844,597650,34068009,256,CA,925,1249100023,01/08/09,00:13:43,07:13:43,0,0,0,0,0
5.76461E+17,68.127.209.39,2039660,3272409,\N,210713223,29628326,597650,32008265,256,CA,925,1249100023,01/08/09,00:13:43,07:13:43,0,0,0,0,0
5.76461E+17,68.127.209.39,2039660,3272409,\N,210713223,29628326,597650,32051713,256,CA,925,1249100023,01/08/09,00:13:43,07:13:43,0,0,0,0,0
5.76461E+17,68.127.209.39,2039660,3275774,\N,210189139,29397844,597650,31738867,256,CA,925,1249100023,01/08/09,00:13:43,07:13:43,0,0,0,0,0
9.23957E+17,66.7.127.169,2039660,3272409,\N,210686424,29397844,582346,33935737,256,UT,801,1249100029,01/08/09,00:13:49,07:13:49,0,0,0,0,0
9.23957E+17,66.7.127.169,2039660,3275774,\N,210189139,29397844,582346,31738818,256,UT,801,1249100030,01/08/09,00:13:50,07:13:50,0,0,0,0,0
5.76461E+17,68.127.209.39,2039660,3297457,\N,212938293,29397844,349956,32899998,256,CA,925,1249100075,01/08/09,00:14:35,07:14:35,0,0,0,0,0
5.76461E+17,68.127.209.39,2039660,3272409,\N,210686424,29397844,597650,34068013,256,CA,925,1249100086,01/08/09,00:14:46,07:14:46,0,0,0,0,0
5.76461E+17,68.127.209.39,2039660,3272409,\N,210713223,29628326,597650,32008271,256,CA,925,1249100086,01/08/09,00:14:46,07:14:46,0,0,0,0,0
